event_id,event_date,category,analysis_bucket,peak_probability,rsi_low,position_cut,spy_5d_drawdown,cassandra_avoided
aug_volatility_2024,2024-08-05,Technology,drawdown,0.25,0.46078927467772607,-0.539210725322274,0.030712519994117615,0.015268376147935303
china_taiwan_2024,2024-08-05,Kinetic,false_positive,0.045339,0.46078927467772607,-0.539210725322274,0.030712519994117615,0.015268376147935303
china_taiwan_2024,2024-08-05,Kinetic,false_positive,0.045339,0.46078927467772607,-0.539210725322274,0.030712519994117615,0.015268376147935303
eu_banking_contagion_2024,2024-11-15,Sovereign,false_positive,0.29,0.2745749346764486,-0.7254250653235514,0.016662438465280927,0.01044566915879308
oct_selloff_2023,2023-10-27,Monetary,drawdown,0.84733,0.1822267671412172,-0.8177732328587828,0.05846414000280853,0.021656349427038535
oct_selloff_2023,2023-10-27,Monetary,drawdown,0.84733,0.1822267671412172,-0.8177732328587828,0.05846414000280853,0.021656349427038535
svb_contagion_2023,2023-03-10,Sovereign,drawdown,0.42,0.23113010800013414,-0.7688698919998659,0.014429030755453098,0.010589954850968253
ukraine_invasion_2022,2022-02-24,Kinetic,drawdown,0.982421,0.09266537651231532,-0.9073346234876847,0.01730087840938177,0.019925815860312723
us_debt_ceiling_2023,2023-05-31,Sovereign,false_positive,0.993386,0.09512509760612602,-0.904874902393874,0.020820812647506237,0.019262875614851627
us_debt_ceiling_2023,2023-05-31,Sovereign,false_positive,0.993386,0.09512509760612602,-0.904874902393874,0.020820812647506237,0.019262875614851627
