strategy,metric,v1,v2,v3,paper,v2_minus_v1,v3_minus_v2,v3_minus_paper
buy_hold,cagr,0.13986665303738866,0.13986665303738866,0.13986665303738866,0.123,0.0,0.0,0.016866653037388657
buy_hold,total_return,0.9272900371855168,0.9272900371855168,0.9272900371855168,0.782,0.0,0.0,0.1452900371855168
buy_hold,volatility,0.20974567210456307,0.20974567210456307,0.20974567210456307,0.182,0.0,0.0,0.02774567210456308
buy_hold,max_drawdown_daily,-0.33717284428360483,-0.33717284428360483,-0.33717284428360483,,0.0,0.0,
buy_hold,max_drawdown_monthly,-0.23927177170136427,-0.23927177170136427,-0.23927177170136427,-0.254,0.0,0.0,0.014728228298635737
buy_hold,downside_deviation,0.15012520109131847,0.15128034979394706,0.15128034979394706,0.131,0.001155148702628589,0.0,0.02028034979394705
buy_hold,cvar_95,-0.031752301514836254,-0.031752301514836254,-0.031752301514836254,-0.032,0.0,0.0,0.00024769848516374704
buy_hold,sharpe,0.7296598811665918,0.7296598811665918,0.7296598811665918,0.45,0.0,0.0,0.27965988116659174
buy_hold,sortino,1.0194357847349633,0.7326954261970706,0.7326954261970706,0.61,-0.2867403585378927,0.0,0.12269542619707063
buy_hold,calmar,0.41482182034726134,0.41482182034726134,0.41482182034726134,0.48,0.0,0.0,-0.06517817965273864
buy_hold,avg_position,1.0,1.0,1.0,1.0,0.0,0.0,0.0
buy_hold,days_in_90pct_cash,0,0,0,0,0,0,0
buy_hold,max_consecutive_cash_days,0,0,0,0,0,0,0
buy_hold,paranoia_tax,,,,,,,
vol_target,cagr,0.11455845880437043,0.11455845880437043,0.11455845880437043,0.101,0.0,0.0,0.013558458804370427
vol_target,total_return,0.7221659943150713,0.7221659943150713,0.7221659943150713,0.615,0.0,0.0,0.10716599431507134
vol_target,volatility,0.12087219245466527,0.12087219245466527,0.12087219245466527,0.125,0.0,0.0,-0.004127807545334733
vol_target,max_drawdown_daily,-0.1513719210528892,-0.1513719210528892,-0.1513719210528892,,0.0,0.0,
vol_target,max_drawdown_monthly,-0.14784632848872492,-0.14784632848872492,-0.14784632848872492,-0.182,0.0,0.0,0.034153671511275074
vol_target,downside_deviation,0.08673853346543331,0.08804439634312769,0.08804439634312769,0.092,0.0013058628776943804,0.0,-0.0039556036568723085
vol_target,cvar_95,-0.018115977674525694,-0.018115977674525694,-0.018115977674525694,-0.021,0.0,0.0,0.002884022325474307
vol_target,sharpe,0.9580226974426992,0.9580226974426992,0.9580226974426992,0.52,0.0,0.0,0.43802269744269917
vol_target,sortino,1.3350272276320994,0.8359160276243035,0.8359160276243035,0.74,-0.49911120000779585,0.0,0.09591602762430351
vol_target,calmar,0.7568012482601962,0.7568012482601962,0.7568012482601962,0.55,0.0,0.0,0.2068012482601962
vol_target,avg_position,0.7728703440351815,0.7728703440351815,0.7728703440351815,0.82,0.0,0.0,-0.04712965596481844
vol_target,days_in_90pct_cash,0,0,0,12,0,0,-12
vol_target,max_consecutive_cash_days,0,0,0,31,0,0,-31
vol_target,paranoia_tax,,,,,,,
cassandra,cagr,0.15973054698897426,0.1595361446647925,0.1595361446647925,0.109,-0.00019440232418177494,0.0,0.05053614466479249
cassandra,total_return,1.1016076394874217,1.099842606720808,1.099842606720808,0.673,-0.0017650327666136612,0.0,0.426842606720808
cassandra,volatility,0.1442000703121958,0.1443361536155104,0.1443361536155104,0.148,0.00013608330331457696,0.0,-0.003663846384489605
cassandra,max_drawdown_daily,-0.2019439573136198,-0.20268394783484522,-0.20268394783484522,,-0.0007399905212254199,0.0,
cassandra,max_drawdown_monthly,-0.19592742374673466,-0.19667299304635633,-0.19667299304635633,-0.141,-0.0007455692996216623,0.0,-0.05567299304635634
cassandra,downside_deviation,0.09931736400028177,0.100683392116445,0.100683392116445,0.087,0.001366028116163237,0.0,0.013683392116445009
cassandra,cvar_95,-0.021193504066815003,-0.021217647578943243,-0.021217647578943243,-0.018,-2.4143512128239897e-05,0.0,-0.0032176475789432446
cassandra,sharpe,1.1000813580586222,1.09801865134074,1.09801865134074,0.68,-0.0020627067178822234,0.0,0.4180186513407399
cassandra,sortino,1.5972212993967412,1.154939305010912,1.154939305010912,0.92,-0.44228199438582916,0.0,0.23493930501091198
cassandra,calmar,0.7909647266192376,0.787117807645965,0.787117807645965,0.77,-0.003846918973272606,0.0,0.017117807645964933
cassandra,avg_position,0.7877126453428526,0.7890344342521883,0.7890344342521883,0.73,0.0013217889093357638,0.0,0.05903443425218835
cassandra,days_in_90pct_cash,2,2,2,48,0,0,-46
cassandra,max_consecutive_cash_days,1,1,1,57,0,0,-56
cassandra,paranoia_tax,0.01986389395158561,0.019669491627403834,0.019669491627403834,-0.012,-0.00019440232418177494,0.0,0.03166949162740383
