strategy,metric,ci_low,ci_high
buy_hold,cagr,-0.03886241243823041,0.3446202654678255
buy_hold,max_drawdown,-0.5568045049213977,-0.13811149917920543
buy_hold,sharpe,-0.04535274663552412,1.7193682077427217
buy_hold,sortino,-0.29499504409053934,2.223528807769931
buy_hold,cvar_95,-0.04363094174715617,-0.02303105336692422
vol_target,cagr,0.013107671021325991,0.23247661430877795
vol_target,max_drawdown,-0.2985784411548776,-0.09099592921245354
vol_target,sharpe,0.1669252169076068,1.8757187797635828
vol_target,sortino,-0.22551820972532804,2.1743120031301455
vol_target,cvar_95,-0.020425576354977666,-0.015871923136102854
cassandra,cagr,0.05601240977810475,0.3296839789096945
cassandra,max_drawdown,-0.2942018501402617,-0.10170071087883738
cassandra,sharpe,0.437186039316903,2.0382121138052107
cassandra,sortino,0.21533406921877374,2.652189051180228
cassandra,cvar_95,-0.024269103122994087,-0.01825697059276857
